,date,daily_return
0,2019-01-02,0.0
1,2019-01-03,-0.022792285290511863
2,2019-01-04,0.03309957695070079
3,2019-01-07,0.005871194892781845
4,2019-01-08,0.010301622579992396
5,2019-01-09,0.0013316778875563716
6,2019-01-10,0.006298349714272674
7,2019-01-11,-0.00015492198824296975
8,2019-01-14,-0.005546515736654514
9,2019-01-15,0.007002877293882926
10,2019-01-16,0.003890608755733068
11,2019-01-17,0.006396946570431166
12,2019-01-18,0.013105748511192334
13,2019-01-22,-0.011595450312699481
14,2019-01-23,0.009884437292081764
15,2019-01-24,-0.0009118777873051266
16,2019-01-25,0.004118260234221396
17,2019-01-28,-0.01246007283955531
18,2019-01-29,4.531354763269866e-05
19,2019-01-30,0.009620484558179923
20,2019-01-31,0.005848409892039445
21,2019-02-01,0.004476160600735317
22,2019-02-04,0.005760175370674843
23,2019-02-05,0.0058353008944047845
24,2019-02-06,0.00015404792255013138
25,2019-02-07,-0.00969490878097143
26,2019-02-08,-0.0012640954033775577
27,2019-02-11,-0.00013390985279929034
28,2019-02-12,0.014187250114182608
29,2019-02-13,0.004340146621027149
30,2019-02-14,-0.00403362526197407
31,2019-02-15,0.015403843486250011
32,2019-02-19,0.0005237504835325741
33,2019-02-20,0.001226604828146005
34,2019-02-21,-0.0025151722905324635
35,2019-02-22,0.006846983935203732
36,2019-02-25,0.0018625386538543565
37,2019-02-26,-0.001404441877683111
38,2019-02-27,-0.0011500924214069225
39,2019-02-28,-0.0026409014433064534
40,2019-03-01,0.003068450238514877
41,2019-03-04,-0.007856478340490698
42,2019-03-05,-0.001099997551689742
43,2019-03-06,-0.005710842826354295
44,2019-03-07,-0.007253451151775717
45,2019-03-08,-0.0020236721272204627
46,2019-03-11,0.013917868824561894
47,2019-03-12,0.0011573770337039656
48,2019-03-13,0.006513289767587745
49,2019-03-14,0.0004190184573341924
50,2019-03-15,0.006250563381483228
51,2019-03-18,0.0025228048117894647
52,2019-03-19,-0.000563025406045025
53,2019-03-20,-0.00498679747789262
54,2019-03-21,0.011104226398450368
55,2019-03-22,-0.016165796451950258
56,2019-03-25,-0.0005488897458580047
57,2019-03-26,0.005518040448658682
58,2019-03-27,-0.00408209442761276
59,2019-03-28,0.0025348614276404454
60,2019-03-29,0.00773157230312832
61,2019-04-01,0.012414682409786952
62,2019-04-02,-0.0046593537027326834
63,2019-04-03,0.002602601683885581
64,2019-04-04,0.001285060343543684
65,2019-04-05,0.002481938123683779
66,2019-04-08,-0.0003797484239541949
67,2019-04-09,-0.0066055326056359415
68,2019-04-10,0.0021778869171388137
69,2019-04-11,-0.0006677889890824104
70,2019-04-12,0.00838249691633738
71,2019-04-15,0.001081478807341318
72,2019-04-16,0.0030637243772860417
73,2019-04-17,-0.0028523290908907713
74,2019-04-18,0.006219427587231305
75,2019-04-22,-0.0016321580839275414
76,2019-04-23,0.005950946811801847
77,2019-04-24,-0.0009455007439647104
78,2019-04-25,-0.0029238226942363216
79,2019-04-26,0.002200516661017978
80,2019-04-29,-0.0007075905180276067
81,2019-04-30,0.003132833646833422
82,2019-05-01,-0.00843422347979153
83,2019-05-02,-0.001444032082207614
84,2019-05-03,0.007958909296106889
85,2019-05-06,-0.00411826800983224
86,2019-05-07,-0.017405375956720405
87,2019-05-08,-0.0016629374986435136
88,2019-05-09,-0.003254948027638403
89,2019-05-10,0.005597999438762691
90,2019-05-13,-0.02007721180586977
91,2019-05-14,0.006862008419485551
92,2019-05-15,0.00386071870356508
93,2019-05-16,0.010795651878723738
94,2019-05-17,-0.005932071511613942
95,2019-05-20,-0.004068800135899979
96,2019-05-21,0.0056927305015002155
97,2019-05-22,-0.00014265775373096325
98,2019-05-23,-0.00827967201042692
99,2019-05-24,0.0030553359891106807
100,2019-05-28,-0.010179558675385687
101,2019-05-29,-0.0075831380931691015
102,2019-05-30,0.0026746370877585423
103,2019-05-31,-0.014916883029846912
104,2019-06-03,0.001789275257294273
105,2019-06-04,0.021632377728134828
106,2019-06-05,0.0102699575752582
107,2019-06-06,0.0065197490173049015
108,2019-06-07,0.010277487124349264
109,2019-06-10,0.00022695653086390267
110,2019-06-11,0.002151869910015159
111,2019-06-12,-0.000880647518927712
112,2019-06-13,0.0038885716162735144
113,2019-06-14,-0.0006829003824382147
114,2019-06-17,0.0010291975339844423
115,2019-06-18,0.01425922763602994
116,2019-06-19,0.0031161200382190876
117,2019-06-20,0.008674662148741234
118,2019-06-21,-0.00047316482205925995
119,2019-06-24,-0.0011284978642927541
120,2019-06-25,-0.007305803862135132
121,2019-06-26,-0.0035196873527982273
122,2019-06-27,0.0017479364457458856
123,2019-06-28,0.002485227711484082
124,2019-07-01,0.007391615647075654
125,2019-07-02,0.004123667361548301
126,2019-07-03,0.006569868254150322
127,2019-07-05,-0.004207904183434425
128,2019-07-08,-0.004126353498650531
129,2019-07-09,-0.002805618467982131
130,2019-07-10,0.0030026500016494054
131,2019-07-11,0.00486818239908063
132,2019-07-12,0.006647752840468567
133,2019-07-15,0.0021914340518993133
134,2019-07-16,-0.0030870405274503253
135,2019-07-17,-0.005783777491733845
136,2019-07-18,0.004850954302793082
137,2019-07-19,-0.005100084113746149
138,2019-07-22,-0.0006402964434559109
139,2019-07-23,0.004943108999788623
140,2019-07-24,-0.0006943510574246725
141,2019-07-25,-0.004017715943109911
142,2019-07-26,0.0020516846012696432
143,2019-07-29,0.0022542337072347044
144,2019-07-30,-0.0010420917549211206
145,2019-07-31,-0.009818478951063138
146,2019-08-01,-0.009783679277850834
147,2019-08-02,-0.005706082619409967
